undirgeving	síeyðmýkt
undirgingin	síavtakin,glataður,krógvaður
undirgivin	sílítillátin
undirgivni	síeyðmýkt
undirgjørdur	sítilbúgvin
undirgonga	síundirgangur
undirgongd	síundirgangur
undirgrein	síískoyti
undirgrivin	síafturlatin
undirgrógvin	síavtakin,loðin
undirgrund	síundirlag
undirgrundarrørsla	síbrotsverk
undirgrundarvirksemi	síbrotsverk
undirgrýttur	síavtakin
undirgrøv	sítorveyga
undirhagi	síjarðarstykki
undirhald	sístuttleiki
undirhalda	síhalda gleim
undirhaldari	Samheiti:búktalari,fívil,gandakallur,gandleikari,gekkur,gyklari,íspegil,klovnur,narr,pussfiskur,sirkusklovnur,skelmur,skemtari↔halda gleim,skemtari,skemtisamur,stuttleiki
undirhár	síhár
undirheimur	síhelviti
undirhella	sígrót
undirhelling	síhalli
undirhiti	síhiti
undirhúð	síhúð
undirkarði	síkarði
undirkast	símatur
undirkavaður	síavbyrgdur,frystur
undirklakaður	sífrystur
undirkleksaður	síavtakin
undirklektur	síavtakin
undirklæðavátur	sívátur
undirklæði(r)	síklæði(r)
undirkola	sílampa
undirkoyggja	síseingjarstaður
undirkoyring	síkoyrivegur
undirkæti	sígleði
undirkøla	síkøla
undirlag	(grundlendi)byggilendi,byggipláss,byggiøki,fastastøði,garðagrund,grund,grundarlag,grundstykki,grundstøði,grundvøllur,grundøki,hjalsgrund,húsagrund,húsastøði,húsgrund,stovnur,støði,undirgrund,undirlendi,undirstøða,undirstøði(grundarsteinur)aðalhyrnissteinur,hornasteinur,hyrnissteinur(sagilað)sagarlað,sagulað(skurðfjøl)smyrjifjøl(undirstøða)ánám,ánámi,undirstøði(fótur)stættur,súlufótur(gólv)dekk,dekkur,hallargólv,hjalsgólv,moldgólv,roykstovugólv,steingólv,stovugólv,trægólv(hoystøði)hoygarðslað,hoygarðsstøð,hoygarðsstøði,sátustaður,sátustøði,stovningur(torvlað)lutalað,lutarstøði,lutastað,lutastaður,lutstøði,torvlutastaður(undirpartur)niðurdeild,niðurlutur,niðurpartur,undirlutiniðan belti;niðari, niðasti partur↔botnur,hækkað gólv,lunnur,toft
undirlagdur	síafturlatin
undirleikur	sítónalag
undirlendi	símold,undirlag
undirljós	sílampa
undirlutakensla	Samheiti:lítilleiki,minnilutakensla,minnimanskensla,minnivirðiskensla,myndugleikatrúgv,smædd,trælaandi,trælalyndi,undirbrotligheit,undirbrotni,undirvirðiskensla↔eyðmýkt,lágborin,smædni,smæðast,smæðinAndheiti:frælslyndi,mikilleiki,stoltleiki
undirluti	síósigur,undirlag
undirlutur	síósigur
undirlýður	síjabróðir
undirlýsa	síljósglæma
undirlýsi	síljósglæma
undirløga	sívánamaður
undirløgubátur	sísjófar
undirløgukjaftur	síbiðiskinskjaftur
undirløgumaður	síveiðimaður
undirmaður	sítapari
undirmannaður	sífullmannaður
undirmálsfiskur	sífiskur
undirmálslaksur	sífiskur
undirmeldur	sístreymur
undirmeta	síspotta
undirmeting	síeyðmýking,meting
undirmígur	síundirpissur
undirmógvur	símógvur
undirmuður	símunnur
undirmunnur	símunnur,tonn
undirnavn	sínavn
undirnevnd	sívald
undirniðan	síniðarlaga
undirniðri	síniðarlaga
undiroka	síkúga
undiroystur	síavtakin
undirpartur	síundirlag
undirpissur	Samheiti:landbukkudukka,pissigøltur,súrdólgur,súrsokkur,undirmígur↔pissa
undirprísur	síprísur
undirrekningur	sígrugg
undirrita	síprógva
undirritaður	síeg
undirrokin	síavtakin
undirrættur	sívald
undirsetumaður	síveiðimaður
undirsitari	síveiðimaður
undirsitingarmaður	síveiðimaður
undirsíða	síbotnur
undirsjóvarristing	síristing
undirsjóvartunnil	síhola
undirskegg	sískegg
undirskelvtur	sífrystur
undirskemma	sígrót
undirskipaður	sínøra
undirskot	síhall
undirskrift	síváttan
undirskriva	síprógva
undirskrivaður	síeg
undirskriving	sískrift
undirskruddur	síafturlatin
undirskør	sígrót
undirskørr	sígrót
undirspæl	sítónalag
undirstanda	sívága sær,vita
undirsteinur	sígrót
undirstinga	símutur
undirstjóri	síband
undirstreymur	sístreymur
undirstúrsin	síharðhjartaður,stoltur,vreiður
undirstætt	sísamfelagsstætt
undirstøða	síundirlag
undirstøði	síundirlag
undirstøðuligur	sítýðandi
undirstøðuýti	síýti
undirtak	sítak
undirtekstur	síáskrift
undirtittul	sínavn
undirtorva	síbrenni
undirtóni	sítónalag
undirtráður	síband
undirtrom	sígrindarlag,útlinja
undirtrútsligur	sífámæltur,vreiður
undirtrygging	sítrygging
undirtryggja	sítryggja
undirtrýst	sítrýst
undirtvingsla	sítvingsil
undirtøka	síjáttan
undirvaksin	síavtakin,loðin
undirveð	sítrygging
undirvekt	sítyngd
undirvirðing	síeyðmýking
undirvirðiskensla	síundirlutakensla
undirvirðissøla	síhandilsskapur
undirvirðisútflutningur	síhandilsskapur
undirvitska	síillgruni
undirvísa	síupplæra
undirvísing	sífrálæring
undirvísingaramboð	síamboð
undirvísingarhøli	síhøli
undirvísingarskylda	sískylda
undirvísingarstovnur	sískúli
undirvísingartími	sískúlagongd
undra	síhugtaka
undran	Samheiti:bilsni,ovfarni(burturrykking)burturtøka↔áhugaður,áhugi,bilsin,bilsnast,hugtaka,undurverk
undranarhávirðing	sívirðing
undranarsamur	síóvanligur
undranarverdur	síóvanligur
undrandi	síáhugaður,bilsin
undrast	síbilsnast
undur	síundurverk
undurbarn	síbarn
undurfagur	sívakur
undurfullur	sífrálíkur
undurgerð	síundurverk
undurgerningur	síundurverk
undurmikil	sífrálíkur
undurríkur	sífrálíkur
undursamligur	sífrálíkur
undursamur	sífrálíkur
undursemi	síheiður
undursjón	sísjón
undurvakur	sívakur
undurverdur	sífrálíkur
undurverk	Samheiti:breyðundur,furða,jartekin,kraftagerð,kraftaverk,mirakul,stórundur,undur,undurgerð,undurgerningureitt Guds mirakul;eitt Guds undur;□tað er mikil furða↔áhugaður,áhugi,bilsin,bilsnast,hugtaka,óveruligur,undran,veruleikaflótti
undurvænur	sívakur
unga	sínørast
ungagás	sífuglur
ungaligur	síúrklænur
ungamamma	sífuglur,móðir
ungapipp	sífuglur
ungast	síivast,smæðast
ungdómsarbeiði	síarbeiði
ungdómsár	síbarnaár
ungdómsblómi	síbarnaár
ungdómsdreymur	síveruleikaflótti
ungdómsdølskleiki	síóvit
ungdómskæti	sístuttleiki
ungdómslív	síbarnaár
ungdómsmegi	símegi
ungdómsminni	síminning
ungdómsskúli	sískúli
ungdómsvanlukkutrygging	sítrygging
ungdómsvinur	sívinur
ungdómur	síbarn,barnaár
ungfiskur	sífiskur
ungfoli	síross
ungfólk	síbarn
ungfrú	síkvinna
ungfrúgv	síkvinna
ungfuglur	sífuglur
unghestur	síross
ungi	sífuglurSamheiti:alipisa,drunnpisa,dúnungi,fuglaungi,glibbari,grásúla,havhestaungi,hoynigil,kjóapisa,kjósungi,krákungi,krákuungi,likkuskuri,likkuungi,líri,lomvigapisa,lomvigarungi,lundapisa,mósungi,náti,nátungi,nigil,ompil,pisa,pli,ritupisa,rituungi,skarvsungi,skurapisa,skuri,skurur,skúvsungi,steggjaungi,teistapisa,ternupisa,ternuungi,æðuungi↔seinføðingur,yngul
unglaksur	sífiskur
unglast	síivast,smæðast
