r	síjavnstrokin
rættindi	Samheiti:arvarættur,atkvøðurættur,avgerðarrættur,ásætisrættur,beitisrættur,borgararættur,borgaraskapur,dráttrarrættur,festirættur,fiskirættindi,forkeypsrættur,forrættindi,frábýtisrættur,frumburðarrættur,fylgjakenning,grúgvurættur,heimarættur,javnrættindi,javnrættur,javnstøða,kenning,limarættur,lunnindi(r),mannarættindi,ognarrættur,óðalsrættur,ríkisborgararættur,ríkisborgaraskapur,rættur,sjálvavgerðarrættur,sjálvsavgerðarrættur,sýting,sýtingarrættur,tilverurættur,tjóðrættindi,tjóðskaparrættindi,torvrættur,torvskurðarrættur,útrakstrarrættindi,útrakstrarrættur,útrakstur,valrættur,veiðirættindi,verkfalsrættur(einkarættur)einarættur,einirættur,einkarættindi,einrættur,einsøla,forgongurættur,forrættindi,forrættur,framíhjárættindi,framíhjárættur,frumburðarrættur,heimspatent,patent,serrættindifyrsti rættur;rættindi fram um aðrar(hevd)hevdarrætturhevdvunnin rættur(kanna)kannur(len)brúksrættur,nýtslurættur(loyvi)arbeiðsloyvi,borgarabræv,búloyvi,byggiloyvi,eykaloyvi,ferðaloyvi,fiskiloyvi,fyribilsloyvi,handilsbræv,handilsloyvi,heimild,innfararloyvi,innferðarloyvi,innflutningsloyvi,koyriloyvi,landloyvi,lov,loyvd,rúsdrekkaloyvi,serloyvi,skeinkiloyvi,tilhaldsloyvi,undantaksloyvi,uppihaldsloyvi,útferðarloyvi,útflutningsloyvi,veiðiloyvi,vinnubræv,vinnuloyvi,vistarloyvi↔arvaborin,arvingi,eiga,frídómur,frumborin,frumburður,frælsi,loyva,váttanAndheiti:forboð
rætting	síseyðarakstur
rættlag	sírættvísi,standur
rættlátur	síheiðurligur,umvendur
rættleiða	sírætta,vegleiða
rættleiðing	síleiðbeining
rættleiki	sísannindi
rættlesa	sílesa,rætta
rættlesari	síleiðbeinari
rættlestur	síbókalestur
rættliga	síheiðurligur
rættlæti	sírættvísi
rættsinnaður	síheiðurligur
rættsinni	sírættvísi
rættsintur	síheiðurligur
rættskriving	sískrift,stavseting
rættskrivingarbroyting	síbroyting
rættskrivingarlag	sístavseting
rættskrivingarorðabók	síyvirlit
rættskrivingarregla	síleiðbeining
rættstavari	síleiðbeining
rættstundis	sístundisligur
rætttíðis	sístundisligur
rætttrúgv	síátrúni
rætttrúgvandi	síandligur,umvendur
rætttrúgvin	síandligur,umvendur
rætttrúnaður	síátrúni
rættuliga	síheiðurligur,ógvuliga,ríkiliga
rættuligur	sífrálíkur,sannur
rættull	síull
rættur	síbeinur,fattur,frálíkur,heiðurligur,høli,matur,nákvæmur,rættindi,sannur,steyrrættur,vald
rættvaksin	síbeinvaksin
rættvísgera	síbírætta,fyrigeva,umvenda
rættvísgerð	síbírætting
rættvísgjørdur	síumvendur
rættvísi	Samheiti:falsloysi,rættferð,rættlæti,rættsinni,rættvorðinskapur,samvitskusemi(reglusemi)greiða,greiði,hampaskil,hampilsi,reglufesti,regluleiki,rættlag,skil,skilhald,skilvísi(skilvísi)huggreiða,sjálvfylgjagreidlig hugsan;hatta sigur seg sjálvt(opinleiki)opinlyndi↔heiðurligur,sannføring,sannindi,trúgvur,trúskapurAndheiti:hykl,svik
rættvísiliga	síheiðurligur
rættvísliga	síheiðurligur
rættvísur	síheiðurligur,umvendur
rættvorðinskapur	sírættvísi
rættvørgur	á rættuni;við ranguni inn(eftir);við rættuni út(eftir);○sum vendir rætt;sum vendir útsíðuna út(eftir),øvutur
rødd	síljóðSamheiti:altur,barnamál,barnarødd,bassur,dreingjamál,dreingjarødd,djóramál,fólkamál,gamlamannamál,gamlamannarødd,gentumál,genturødd,konufólkamál,konufólkarødd,kvinnurødd,kvøðingarmál,lund,mannamál,mannfólkarødd,mansrødd,mál,mæli,reyðfiskamál,reyst,songrødd,sopran,sopranur,steggjamál,stemma,tenorur,torurødd,vaksnamannamál,vakstramannamálklænt mál;kyrkt mál;sterkt bróst t.e. sterkt mál↔ljóð,ljóða,málmikil,mæltur,sangari,siga,synging,syngja,tesk,teska,tosa óskilliga,tungumál
rødda	síendurtaka
røddan	sískríggj
røð	sífjall,riðil,útlinja
røða	sísiga,tos
røðarapallur	síhækkað gólv
røðari	síheimild,róðrarmaður
røðhyrntur	síhyrntur
røðiligur	sísjógóður
røðilsnummar	sínummar
røðuhald	sítos
røðumaður	síheimild
røðusnild	símálkynstur
røðutur	síójavnur
røkikona	sítrivamaður
røkil	síhjálpari
røkimaður	sítrivamaður
røkin	síeftirsíggin,húsligur
røkiskapur	Samheiti:pjøkni,røkjuskapur,røkt,trivaskapur,trivni,vælrøktgóð hagreiðing, usiting, viðfaring, viðferð o.fl.↔ansni,búskapur,eftiransin,eftirlit,eftirsíggin,halda hús,húsligur,nærlagdur,passa,røkt,sparing,trivamaður,vandaliga,vanda særAndheiti:oyðslusemi,órøkiskapur
røkja	sípassa,stjórna
røkjari	sívaktari
røkjuskapur	sírøkiskapur
røkjutur	síeftirsíggin,húsligur
røkka	sífara,máta,nema,varaSamheiti:fata,ná,náafáa e-t við;fáa fatur, tak á...;fáa um endan;grynna t.e. náa, røkka á botn;koma, náa, røkka fram til ...;røkka at, eftir e-m;røkka á, í e-t(royna at røkka)rætta armin, hondina fram, upp, út o.fl.;rætta, strekkja, toyggja seg eftir e-m;standa á tá, tóm;toyggja seg úr hvørjari lykkju(taka e-n aftur)fáa, tuka e-n aftur;taka e-n á baki;taka seyð á føri, á føti↔grípa,nema,tak
røkkur	síavtakafólk
røkstur	sífiskiskapur,seyðarakstur
røkt	sígjald,reinføri,røkiskapur,seyður,viðgerðSamheiti:ambæting,brynning,fóðring,hagreiðing,handfaring,umsiting,viðfaring,viðferð,viðgerð,viðhald,viðlíkahald,viðvæli,viðvæling,vælrøkt(bjargarøkt)búrøkt,børøkt,hagarøkt,jarðarrøkt,jarðbót,seyðarøkt,stovnsrøkt↔ansni,eftiransin,eftirlit,passa,reinføri,røkiskapur,viðgerð
røkta	sípassa
røktarheim	síbústaður,bygningur
røktarsjúklingur	sísjúklingur
røktingarhestur	síross
røktingarhundur	síhundur
røktingarlamb	sígjald,seyður
røktingarløn	sígjald
røktingarmaður	sívaktari
røktingarmark	síeyðkenni
røktingarseyður	sígjald,seyður
røktingarær	sígjald,seyður
røkuhvassur	síhvassur
rønta	síendurtaka,syngja
røntgenmynd	símynd
røntgenviðgerð	síviðgerð
rør	sívatnleidningur
røra	síbinda,dreiva,elta,førka,ganda,grópa,hugtaka,nema
rørandi	síáhugaverdur
rørari	sírøritól
rørast	síbetra seg,førka,rugga
rørdur	síáhugaður,kensluligur
rørilsi	síristing
rørimaskina	sírøritól
rørinerv	sísansingargagn
røring	sírák,risting,rørsla
røringartráður	síband
røringur	sílevind,rák,risting,rørsla,sjóvarilska
røritól	Samheiti:miksari,pískari,rørari,rørimaskina(blandimaskina)betongblandimaskina↔elta,matgera
rørleki	síleki
rørligur	síkensluligur,rúmligur,vreiður
rørportur	síinngongd
rørsla	sífelag,rák,risting,viðbragdSamheiti:afturbragd,armbending,blaktur,bragd,bróstgangur,fipan,knæbending,kropsbending,kropsrørsla,kropsvríggjan,liðagangur,liðagongd,liðing,óró,órógv,rass,remban,rembing,røring,røringur,sperring,vik,vríggjan↔rembast,rista,risting,skelking,skelkja,viðbragd
rørslubrekaður	síbrekaður
rørsluleysur	síharður
rørslunerv	sísansingargagn
rørslutarnaður	síbrekaður
røst	sístreymur
røtast	sírótfestast
røtugás	sífuglur
røva	síbeistast,stjala
røvari	síótangi,tjóvur
røvil	síafturpartur
