r	síjavnstrokin
regn	síoyðistaðurSamheiti:avfall,áarføri,áarstoytingur,bermiligheit,bermiligregn,broddatjúkn,broddaæl,broddælingur,degningsæl,dism,disp,doði,doðaveður,drav,dravveður,driv,drivregn,døglingsregn,eystanæl,flóðarveður,flóðaræl,foysur,gjøgnumveður,gjøgnveður,gjøgnvæta,gjøgnvæti,gloparegn,glopparegn,gloppregn,glopraregn,grimdarregn,grimdarskúrur,grindaregn,grimdaræl,grovregn,grumd,grummheit,himmalvatn,jómsvíkingaæl,loysingur,loysningur,lýregn,lýsingaræl,lývæta,lývæti,meisardagur,meitingur,menningaræl,mikkjalsmessurotur,mjørkadriv,mjørkaregn,mjørkasubb,mjørkasurk,mjørkaæl,norðanregn,norðanæl,omanvatn,oysregn,ódnarregn,ólavsøkurota,óterri,posaregn,ráterri,regndagur,regndropi,regnskúrur,regntjúkn,regnæl,regnælingur,rigningur,rot,rota,rotingur,rotuveður,rotveður,rusk,samfalsregn,samregn,samrigni,sirm,sirma,sirmdagur,skaddudriv,skúraveður,skúrur,skýmingaræl,slag,slaguveður,slettur,sprænregn,stanglingur,stoytingur,stoytiregn,stoytur,stórregn,stroyggj,stroyggjaregn,sturtningur,subb,summarregn,summarsirm,summarsurk,summaræl,sunnanregn,sunnanæl,surk,surp,terradropar,terridropar,toruæl,úrgonga,úrgonguveður,útnyrðingsæl,útsynningsæl,vatngarður,vatnslettur,várregn,vátveður,veðurfestingur,vendingarælingur,vestanæl,væta,væti,æl,ælaluft,ælaslettingur,ælaveður,ældrag,ældráttur,ældróg,æling,ælingur,ælmeiting,ælmeitingur,ælmusk,ælnám,ælnisp,ælstroyggjeingin terri, einki terraveður;oysandi regn;samfast regn;vátligt veður(døgg)bjøll,bjølla,bjøllur,doði,døggdropi,jóansøkudøgg,kirkjugarðsdøgg,morgundøgg,náttardøgg↔áarføri,bloyta,drekkivatn,dropi,regna,toka,vatn,vatnast,vatnvánir,vátur,veðurlagAndheiti:terri
regna	Samheiti:disma,doða,dossa,dropa,dryppa,gráta,híma,loysa,oysregna,rigna,sirma,slaga,slava,smáregna,smásirma,stangla,stoytregna,stroyggja,subba,surka,vátla,æla,ælmuskabyrja, fara at regna;díkja, gremja á;dynja á, niður;glymja á, niður;goysa, oysa niður;loysa av at regna;loysa luftina, regnið;loysa við regni;loysa æl;regna av glopa, grimd;seta eitt æl, ælmusk;skúra á;stoyta á við avfalli, regni, o.fl.;míga, oysa, spanna, stoyta, sturta niður(hann, tað regnar)hann bloytir úr sær, loysir avfallið;hann brennir æling í havinum;hann, har, her, nú, tað regnar, ælar;nú legði at;regnið díkir niður;tað er ein (Guds) børmiligheit;tað kennist, ælar úr honum;tað mígur, oysir, spannar, stoytir, sturtar niður↔áarføri,dropi,floyma,regn,vatn
regndagur	síáarføri,regn
regndropi	sídropi,regn
regngráur	sívátur
regngrómur	sítoka
regnhol	síillveðurshol
regnklæði(r)	síklæði(r)
regnligur	sítokutur,vátur
regnloysi	síterri
regnmikil	sívátur
regnskadda	sítoka
regnskin	sígóðveður,ljósglæma
regnskíggi	sívernd
regnskjól	sívernd
regnskúrur	síregn
regnskýggj	sítoka
regnskødda	sítoka
regntjúkn	síregn
regntoka	sítoka
regntungur	sívátur
regnvatn	sívatn
regnvátur	sívátur
regnverja	sívernd
regnæl	síregn
regnælingur	síregn
regnætt	sívindur
reið	síríðing
reiða	síarga,búgva út,flyta,gjalda,mastrartog
reiðarafelag	sífelag
