bardagamikil	síófúsur
bardagasamur	síófúsur
bardagi	síkríggj
bardagur	síkríggj
bardía	síarbeiða,banna,beistast
bardíggja	síarbeiða,banna,beistast
barduhvalur	síhvalur
bardur	síveðurbardur
barð	síberg,hol,skarð
barðhol	síhol
barðhøgur	sísteyrrættur
barðlangur	síendilangur
barðlína	síband
barðrættur	sísteyrrættur
barðveggur	síveggur
bareggjað	síkviðin
barfrost	síkavi,kuldi
barføttur	sínakin
bargeil	sírevsing
bark	sísjófar
barka	sídrekka brennivín,garva
barkahosti	síljóð
barkahøvd	síhálsur
barkaknetti	síhálsur
barkaknolli	síhálsur
barkaknøttur	síhálsur
barkakulla	síhálsur
barkakýli	síhálsur
barkaljóð	síljóð
barkasteinur	sígrót
barkastokkaferð	sítúrur
barkastokkur	síbátadráttur
barkastólpi	sítrog
barkatak	sítak
barkgrev	síslitmaður
barkgrevil	síslitmaður
barkhella	sígrót
barkhít	síposi
barkhola	síkulla
barki	síhálsur
barkílat	sítrog
barkkulla	síkulla
barkskip	sísjófar
barksneis	sírakdirðil,tríalingur
barkstampur	síkassi
barksteinur	sígrót
barkstólpi	sítrog
barlast	sítyngd
barlasta	sítyngja
barlastargrót	sígrót,tyngd
barleggjaður	síbeintur
barligur	sífátækur,oyðin,rakfallin
barma	sígremja seg
barmadøttur	síknykil
barmur	síboppa,halli
