samstarv	sífelagsskapur,semja
samstarva	sísemjast
samstarvast	sísemjast
samstarvsfólk	sípartamaður
samstarvsfúsur	sívilligur
samstarvshugaður	sívilligur
samstarvslag	síarbeiðslag
samstarvsmaður	sípartamaður
samstarvsnevnd	sípartamaður
samstjórn	sívald
samstundar	sísamstundis
samstundis	Samheiti:samstundar,samtíða,samtíðar,samtíðis,als,í einum,í sennalt í senn;á, í tí sama sinni;í einum andarhaldi;í sama hvarvinum;í sama andadrátti, andarhaldi, andaræli, bragdi, viðbragdi;(í) somu ferð;í sømu løtu, stund sum...;sama ár, dag sum...;samstundis sum, við...;sum ein maður;sum við ein munn;tá ið;um eina leið;um somu tíð;um tað bil sum...;við einari ramsu;við ein munn;við sama høvi↔nú
samstøða	síblídni
samstøðupartur	síluteind,partur
samsvar	sílíkskapur,semja
samsvarandi	sílíkur
samsyrgja	Samheiti:sárkaføla við e-m;hava samkenslu, viðkenslu við e-m;sárkast um e-n;taka synd í e-m;vera samkennandi;vera staddur í sama sári, í sømu ringu støðu;□á tig og tala ikki;hjá mær veit líka illa við;sama skilið er her hjá mær;sami maður gongur á meg;sig mær frá spaðarfrúgv↔sorg,sorgarbundin,syrgja
samsystir	sískyldfólk
samsystkin	sískyldfólk
samsýna	sígjalda
samsýning	síendurgjald,gjald,takk
samsæti	síveitsluhald
samsøga	sífrásøgn
samt	síofta
samtak	sífelag
samtal	síorðaskifti,tos
samtala	sífundur,orðaskifti,semja,tos
samtalsbók	síyvirlit
samtekstur	síáskrift
samtilvera	sígerandislív
samtittul	sínavn
samtíða	sísamstundis
samtíðar	sísamstundis
samtíðarfólk	sípersónur
samtíðarmaður	sípersónur
samtíðarskattur	síavgjald
samtíðarsøga	sífrásøgn
samtíðis	sísamstundis
samtrola	sífiska
samtrolari	sísjófar
samtrygging	sítrygging
samtryggjaður	sítryggja
samtykki	síjáttan
samtykkja	síavgera,eftirlíka,hóska væl
samtykkjandi	síjáttandi
samtykt	sídómur,semja
samtyktur	síásettur,galdandi
samtænari	síhjálpari
samtøka	sífelag
samtøkuorð	síorð
samur	síáðurnevndur,líkur,óbroyttur
samvaksin	sísamankomin
samvallaður	síloðin,samankomin
samveður	síveðurlag
samveiða	sífelagsskapur
samveldi	sístatur
samvera	sífelagsskapur
samvering	sífelagsskapur
samverk	sífelagsskapur
samverkamaður	sípartamaður
samviðri	síveðurlag
samvinna	sífelagsskapur
samvinnufelag	sífelag
samvirka	sísemjast
samvirki	sífelagsskapur
samvit	síklókskapur
samvitskubit	síangur
samvitskufangi	sífangi
samvitskufriður	sífriður
samvitskufrælsi	sífrídómur
samvitskuleysur	síharðhjartaður,mannvándur
samvitskuloysi	síóndskapur
samvitskuófriður	síangur
samvitskusamur	síheiðurligur,nærlagdur
samvitskusemi	sírættvísi
