geldingslamb	sígeldingur,seyður
geldingsær	sígeldingur,seyður
geldingur	síseyðurSamheiti:eistnameltingur,geldgimbur,geldgjólingur,geldingsgemlingur,geldingsgjólingur,geldingslamb,geldingsær,geldisgemlingur,geldisgjólingur,geldislamb,geldisær,geldkokkur,geldseyður,geldær,heystgeldingur,meltingur,oyðiskrápur,ónolla(geldkúgv)geldkokkur,geldneyt,gjøldkúgv,gjøldneyt,kvíggini,kvíggjevni,oyðiskrápur,ónolla(geldfuglur)fleygafuglur,geldgás,geldhani,geldkokkur,geldskrápur,geldskúgvur,krympirumpa,oyðifuglur,oyðimási,oyðiskrápur(geldblóma)geldepl,geldvísi(ófrukt (um konu))geldkokkur,oyðiskrápur(geldingur (um mann))geldkokkur,oyðiskrápur↔geldur,gelda
geldisgemlingur	sígeldingur,seyður
geldisgjólingur	sígeldingur,seyður
geldislamb	sígeldingur,seyður
geldisær	sígeldingur,seyður
geldkokkur	sígeldingur
geldkúgv	sígeldingur,neyt
geldkúgvarmjólk	símjólk
geldneyt	sígeldingur,neyt
geldseyðahorn	sídjórahorn
geldseyðakrov	sílikam
geldseyðaroð	síhúð
geldseyður	sígeldingur,seyður
geldskrápur	sífuglur,geldingur
geldskúgvur	sífuglur,geldingur
geldsteggi	sífuglur,geldingur
geldur	Samheiti:lívsørur,óburin,starvur,steingeldur,steinstarvur(barnleysur)sonarleysurbarnleys gifta;barnleys hjún;○sum ikki barnast;sum ikki kann fáa avkom;sum livir í barnloysi(ókviðin)brundgeldur,turrgeldurikki kálvbær;ikki kviðin;○sum ikki kvidnast;□kúgvin kastaði sáðið;kúgvin kvidnast ikki aftur, ríðst ikki aftur;kúgvin misti riðið(krøkt)krympað○sum ikki verpur(skellegg)ótroðið, skelt egg↔gelda,geldingur,gróðrarlítil,missa fostur,sleppastAndheiti:kviðin
geldvísi	sígeldingur,gróðurnál
geldær	sígeldingur,seyður
geldærarkrov	sílikam
geldærarlamb	síseyður
gella	síbarn,kvinna,ljóða
gellan	síljóð
gellandi	síljóðmikil
gellifrost	síkavi,kuldi
gelligler	síkavi
gellutur	síilla ílatin
gelræði	sííblástur
gemeinur	síóuppgjørdur
gemlingur	síseyður
gena	síhyggja
genta	síbarn,kvinna
gentubarn	síbarn,kvinna
gentubátur	sísjófar
gentubók	sískriv
gentuhviril	síbarn,kvinna
gentukór	sísangari
gentulið	símanning
gentuligur	síungligur,ungur
gentulókur	síleyslyntur persónur
gentumál	sírødd
gentunavn	sínavn
gentuóviti	síbarn,kvinna
genturippa	síleyslyntur persónur
genturóður	síróður
genturødd	sírødd
gentuskúli	sískúli
gentusnøkil	síleyslyntur persónur
gera	síarbeiða,byggja,elva,forma,hovna,rotna
gera aftur	síumvæla
gera aldu	Samheiti:alda,ála,baldra,bála,brala,bresta,brima,bróta,bulla,drabba,froyða,froysa,fylla,gjálva,grísa,grunnbróta,græla,hvessa,hvølva,jagga,kjøkra,kóka,krakla,prutla,rensla,rísa,runa,sjóða,skvatla,sláa,smágjálva,smáruna,sutla,tvørbróta,varra,vella,velta,veltastbløðra upp;brima í;bróta saman;bróta sum á lógv;bulla upp;dreiva alduna;fylla, leggja innyvir;gera aldu (í sjónum);gera brim, ódn o.fl.;grugga, øtla sjógvin;kasta av sær;leggja inn, innyvir, yvir;reisa sjógv;sláa inn í bátin;spýta uppvið;spýta upp við borðinum o.fl.;standa í andarisi;taka at bróta;vera uppi (um boða);øsa sjógvin upp;□hann tusti av í brimi, tusti í brim(rivja á)hvíta,hvítmyljataka at bróta, hvítna(ryggja)fylla,hevja,heyga,heyggja,riska,rísa,skalva,skarariska, skalva, skara á;toppa seg upp(ókyrra)grugga,kjøkra,óslætna,rísna,skubba,ývna,ývnast,øtlagertast aldutur, baskaligur, rísin, svølgutur o.fl.↔aldutur,bakbrot,illveður,sjóvarilska,sláa út,storma,streymur,versna
gera brot á	Samheiti:faldabretta, bróta upp, uppum, upp um armar(nar);bróta innfyri;bróta, rulla niður, upp;bróta um;falda saman;gera, leggja brot, fald á;gera, leggja dupult;leggja saman;leggja saman í dýnubrot;leggja saman (í helmingar, helvt)↔randa,uppbrettur
gera búrbrot	sístjala
gera mun á	sískilja ímillum
gerandi	síatkomandi
gerandidagur	síyrkadagur
gerandisbrúk	sítil stásbrúk
gerandisdagur	síyrkadagur
gerandisklæddur	síílatin
gerandisklæði(r)	síklæði(r)
gerandiskvøld	síyrkadagur
gerandisliga	síofta
